department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,author,title,published,description,series,language,summary,note,filetype,localnote,access,systemdet,subject,alttitle,program_sampling
Mathematics,MA,https://tinyurl.com/mathma2019,2019,3,https://sierra.ceu.edu/record=b1421494,http://www.etd.ceu.edu/2019/ramanantoanina_andri.pdf ,"Ramanantoanina, Andriamahenina",Topological classification of links associated with plane curve singularities / Andriamahenina Ramanantoanina,"Budapest : Central European University, 2019",36 p. ; 30 cm.,CEU Department of Mathematics master theses ; 2019/3,English,"In order to protect users from spam, financial scams or malware, security com- panies, such as ESET,1 tend to block dangerous domains and Internet Protocol (IP) addresses. Many of them are chronically known for spreading malware and thus blacklisted, while others are known as clean and whitelisted sources. However, most dangerous domains/IPs are unknown. The aim of this project is to assign a malware probability to domains/IPs using a large scale data on a temporal bipartite network. We model the associated reputation problem as a network interference and graph mining problem, where we construct layers of domains and IP addresses, and seed tthe network with empirical ground truth on malware sources. Then we run the voter model of information spreading to estimate marginal probabilities of domains/IPs being blacklisted. Our analysis provides an intuitive, scalable way of identifying previously unknown, dangerous sources online.",Degree: MSc,PDF file (987k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Environmental sciences,MESPOM,https://tinyurl.com/envmespom2020,2020,12,https://sierra.ceu.edu/record=b1428076,http://www.etd.ceu.edu/2020/black_benjamin.pdf ,"Black, Benjamin Samuel",Assessing the ecological effectiveness of protected areas in Cambodia : a quasi-experimental counterfactual estimation of avoided deforestation / Benjamin Black,"Budapest : Central European University, 2020",209 p. ; 30 cm.,CEU Department of ES MESPOM Programme master theses ; 2020/2,English,"In the face of global environmental change, protected areas (PAs) have become an increasingly important tool in modern conservation, and as such there is a clear imperative to maximise the benefits they provide. In this regard a growing field of interest is the quantification of PA ecological effectiveness, often expressed in terms of avoided deforestation achieved relative to unprotected areas. However, such assessments are confounded by biases in both the non-random siting of PAs within landscapes as well as differential pressure upon their resources. These biases can be overcome by the use of quasi-experimental counterfactual study designs, that evaluate the impact of PAs against control areas of ‘similar’ biophysical and socio-economic characteristics. To contribute towards this knowledge domain this study presents an assessment of PA effectiveness for the Southeast Asian nation Cambodia, which, in light of its history of natural resource management, represents a pertinent case study. PA effectiveness was analysed using propensity score matching for three different outcome periods between 2010-2018 with the results finding significant positive treatment effects in each, with forested land in PAs being as much as 8% less likely to be deforested than similar unprotected forest. In addition to this a significant positive spillover effect of PAs was observed in 5km buffers zones adjacent to their boundaries, resulting in a maximum of 4% reduction in probability of deforestation. Furthermore, the effectiveness of PAs in Cambodia was found to vary under differential deforestation pressure as well as with regards to the duration of time since PA establishment.",Degree: MSc,PDF file (6599k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Economics,MA,https://tinyurl.com/ecoma2019,2019,72,https://sierra.ceu.edu/record=b1421213,http://www.etd.ceu.edu/2019/tspnetsyan_arpine.pdf ,"Tspnetsyan, Arpine",The impact of financial regulation on bank risk-taking : capital adequacy regulation vs deposit insurance / Arpine Tspnetsyan,"Budapest : Central European University, 2019",20 p. ; 30 cm.,CEU Economics Department master theses ; 2019/35,English,"This paper, based on the reviewed literature, conducts a secondary analysis to understand what are the incentives which increase the level of risk-taking in the banking sector, whether there is intense competition giving significant grounds to the banks for excessive risk-taking. Additionally, it discusses how financial regulation impacts the risk-taking in the banking sector and the possible flaws of the regulation. A comparison is conducted between two preventive governmental interventions: Capital adequacy requirement and Deposit Insurance. Further policy recommendations have been made to improve financial regulation in the banking sector.",Degree: MA,PDF file (398k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Political science,MA,https://tinyurl.com/polma2020,2020,42,https://sierra.ceu.edu/record=b1427942,http://www.etd.ceu.edu/2020/lazarescu_paul.pdf ,"Lazarescu, Paul Manuel",Understanding the implications of the Hart-Celler Act / Paul Manuel Lazarescu,"Budapest : Central European University, 2020",54 p. ; 30 cm.,CEU Political Science Department master theses ; 2020/9,English,"The Hart-Celler Act, formally known as the Immigration and Nationality Act of 1965, has had a thought-provokingly stellar impact on U.S. immigration. This act eliminated discrimination against certain ethnic groups that had persisted since the Immigration Act of 1924 which established the National Origins Formula. Under the National Origins Formula, immigration quotas were put into place in order to limit the number of immigrants from regions of the world that would negatively alter the ethnic distribution of the United States. The era within which the Hart-Celler Act was passed was one of a great change in the psyche of the U.S. demos towards a more liberal, global way of thinking by removing these quotas and creating a better system through which residency could be acquired. The changing of times and inability to address it since, however, has led to immigration becoming a forefront of political debate in the United States today. This has culminated in the presidential campaign and subsequent election of Donald J. Trump, whose primary campaign issue revolved around racially charged sentiments and the problems of immigration. My aim here is to assess, from relevant data and evidence, the impact of the Hart-Celler Act by examining a) how it improved or faulted as legislation upon its predecessor – via reallocation of immigration slots from Northern Europe to 3rd world inhabitants or the creation of chain migration – and b) the economic and social consequences that have occurred in the fifty years following. I shall follow this up by developing a normative scale upon which to judge the competing immigration theories, which is succeeded by taking a look at philosophical literature in search of providing a clearer picture regarding the moral debate surrounding immigration today. I conclude a) that Congress passed a law improving on many of the shortcomings of its predecessor, though it has not been spared criticism on pragmatic grounds; and b) that the legislative changes cultivated fairly positive economic consequences. Additionally, I assert that sole adherence to either theory of immigration is too narrow in approaching the problem of reform and that collaborative measures that are understanding of both sides’ interpretations of justice is the most suitable path forward.",,PDF file (924k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1428993,http://www.etd.ceu.edu/2020/borodenchyk_tereza.pdf ,"Borodenchyk, Tereza",Violent attacks against Roma by right-wing radical groups in Hungary and Ukraine / Tereza Borodenchyk,"Budapest : Central European University, 2020",39 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/13,English,"Right-wing ideology is a movement based on the belief in the superiority of some individuals and groups as well as the inferiority of others. This ideology caused a number of violent attacks against Roma in Hungary in 2008-2009 and in Ukraine in 2018. Members of right-wing movements attacked Roma settlements, destroying houses, injuring and killing people. The two main focuses of the paper are: to discuss the social and political pre-conditions and the general societal environments in which the attacks were committed, and to outline the main human rights violations committed by the states while responding (or not responding) to the attacks.",Degree: MA,PDF file (490k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
IR,MA,https://tinyurl.com/iresma2020,2020,39,https://sierra.ceu.edu/record=b1429245,http://www.etd.ceu.edu/2020/bihan-poudec_emma.pdf ,"Bihan-Poudec, Emma Isma","An analysis of the demobilisation, disarmament and reintegration process of former FARC fighters in Colombia / Emma Isma Bihan-Poudec","Budapest : Central European University, 2020",57 p. ; 30 cm.,CEU International Relations Department master theses ; 2020/11,English,"The implementation of Disarmament, Demobilisation and Reintegration (DDR) processes represent an important part of post-conflict transition. By enforcing the stateâ€™s monopoly on armed forces and integrating political opponents, these mechanisms hold a promising potential towards the reconstruct war-torn nations. In 2016, the government of Colombia reached an historic peace deal with the FARC (Fuerzas Armadas Revolucionarias de Colombia) guerrilla, thus ending the longest lasting civil war in the Americas. After more than 50 years of civil war, in which hundreds of thousands were killed and millions displaced, the implementation of DDR started. Now in its third year, the implementation is slow, uneven and is encountering several difficulties. In August 2019, some ex-FARC leaders called for the return of an armed insurgency, citing the failures of the Colombian government in implementing the Peace Agreement. As mitigated results of the DDR in Colombia emerge, an overall assessment is valuable. This paper aims to provide insights in the implementation of the DDR process of former FARC fighters in Colombia. The research is based on process-tracing and semi-structured interviews conducted with organisations which designed, implemented and monitored of the peace process. By combining these insights and methods, this research permits to highlights the successes and challenges of this DDR process. This research identifies key obstacles and opportunities for DDR in Colombia, highlighting the programmatic successes for the demobilisation and disarmament phases and identifying institutional weakness, programmatic flaws and the role of spoilers as key explanatory factors for the shortcomings of the reintegration in Colombia.",Degree: MA,PDF file (454k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399921,http://www.etd.ceu.edu/2018/shishov_aleksandr.pdf ,"Shishov, Aleksandr",Identifying the Heideggerian footprint in post-communist Russia's radical political thought / Aleksandr Shishov,"Budapest : Central European University, 2018",61 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/33,English,"At present, despite significant interest in Russian politics and its benchmark status for claims regarding the rise of illiberal tendencies, very little is done to investigate the developments within Russia’s eclectic philosophical landscape. This paper examines the political theory of one the most controversial and curious Russian intellectuals - Aleksandr Dugin. In his key work “The Fourth Political Theory” Dugin dismisses liberalism, communism and fascism and proposes an approach to political philosophy that, according to his argumentation, fosters an authentic relationship with Being by conceptualising Heidegger’s category of Dasein as the subject of politics. This paper suggests that Dugin’s theory constitutes a genuine and unique example of Right-Heideggerianism and expands on the ideas of conservative revolutionaries through incorporating the major theoretical developments of the 20th century. It is demonstrated that identifying the key premise of Dugin’s approach to political philosophy as the insistence on the ontological primacy of community in relation to the construction of the human self, envisioned in Heideggerian terms, allows for Dugin’s political application of Heidegger’s fundamental ontology to be both sufficiently distinct from present currents in political thought, and flexible to be appropriated as a new conceptual foundation by a wide array of radical conservative and right-wing movements.",,PDF file (884k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1424434,http://www.etd.ceu.edu/2020/leshkovych_taras.pdf ,"Leshkovych, Taras","Evolution of the educational rights of minorities in the League of Nations, United Nations and Council of Europe systems / Taras Leshkovych","Budapest : Central European University, 2019",73 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/39,English,"The present thesis is devoted to the comprehensive analysis of the historic development of the educational rights of persons belonging to national or ethnic, religious or linguistic minorities. The study focuses on the transformation of the minorities’ protection regimes established within the League of Nations after World War I into more individualistic system of the protection of the rights of persons belonging to minorities that emerged after World War II within the United Nations and Council of Europe. From the wide array of the rights of persons belonging to minorities, education plays a crucial role and is paramount to the survival and further development of minority communities. While the rights of persons belonging to minorities are perceived as individual rights – such approach is practical and important for jurisdictional reasons, the collective aspect of minority rights is undisputed. This is particularly relevant for the educational rights of persons belonging to minorities, as educational process mostly has collective character. The research focuses on the evolution of minority education rights within three legal systems: minority protection regimes under the League of Nations, educational rights of persons belonging to minority groups under the United Nations, and the regional Council of Europe system. The study also provides an overview of modern understanding of the educational rights of persons belonging to minority groups. In this aspect, thesis analyzes the minority rights as human rights – focusing on the subjective element of the minority education rights, and examines the content or material elements of the educational rights of minorities.",Degree: MA,PDF file (904k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Environmental sciences,MSc,https://tinyurl.com/envma2020,2020,15,https://sierra.ceu.edu/record=b1429397,http://www.etd.ceu.edu/2020/thomas_geoffrey.pdf ,"Thomas, Geoffrey","Valuing and relating to the more-than-human world : Latour, Haraway and the life frame of values / Geoffrey Thomas","Budapest : Central European University, 2020",100 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2020/13,English,"This thesis examines making intrinsic values work; integrating intrinsic values of the more‐than‐human world through the Life Framework of Values using the perspectives of Haraway and Latour. O’Connor and Kenter’s Life Framework of Values (LFV) is an innovative and comprehensible means to communicate intrinsic and relational values, which are conceived of as related to living with, from, in and as the more-than-human world. The LFV seeks to operationalize intrinsic values in the context of conservation and sustainability. This thesis brings perspectives from Latour and Haraway to bear on environmental ethics discussions, especially around intrinsic and relational values. The work of Latour and Haraway expands the understanding of the more-than-human world, examines conceptions of nature and wilderness, looks at nature/culture interaction and proposes the inclusion of the Gaia and the Anthropocene as essential conceptual frameworks. Latour and Haraway’s work on relationality provides insight into the LFV. Latour’s actor-network theory increases the range of entities and objects that participate in networks and gives these actors greater agency. The concept of the Anthropocene means that relations between the human and the more-than-human have become central forces, and provides historical, political and economic background to the current ecological crisis. Acceptance of the Anthropocene and Gaia means that we exist in a limited critical zone. Latour and Haraway argue against universalizing ethical systems. Latour advocates ethical sensitization and Haraway argues for situated knowledge and attention to entanglement and injustice. The combination of these insights might be used to strengthen and improve the LFV.",Degree: MSc,PDF file (1039k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
IR,MA,https://tinyurl.com/iresma2018,2018,45,https://sierra.ceu.edu/record=b1399037,http://www.etd.ceu.edu/2018/cakir_ozge.pdf ,"Cakir, Özge",Artificial intelligence and human security : understanding the role of human in contemporary warfare / Özge Cakir,"Budapest : Central European University, 2018",60 p. ; 30 cm.,CEU International Relations Department master theses ; 2018/14,English,"Throughout history, the nature of warfare has evolved in light of technological developments. The 21st century is witnessing rapid developments in artificial intelligence (AI) technology and their implications in the military sphere. The accelerating intelligence and autonomy that these developments provide the weapon systems are among the main features of the recent Revolution in Military Affairs (RMA). At the same time these features create a feeling of anxiety about the role of humans on the battlefield. This thesis seeks to scrutinize the main reasons behind the failure of the Critical Security Studies (CSS) scholars’ attempts to approach the altering nature of warfare and the role of human from a Human Security perspective. Therefore, it argues that in order to address the paradigm shifts in contemporary warfare and how it affects the role of humans on the battlefield successfully, Human Security should be re-connected with war-making. Instead of putting too much emphasis on drone warfare as the existing literature suggests, the more recent developments with the risk of eliminating humans from war-making should be addressed. Achieving a clearer understanding of what sort of motives that artificially intelligent units have would make it possible to control these motives. Thus, it would be possible for Human Security to successfully address the decreasing role of human in war-making.",Degree: MA,PDF file (944k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Philosophy,MA,https://tinyurl.com/philma2018,2018,9,https://sierra.ceu.edu/record=b1400148,http://www.etd.ceu.edu/2018/yu_yangsen.pdf ,"Yu, Yangsen",Conditional analysis and reason explanation / Yangsen Yu,"Budapest : Central European University, 2018",49 p. ; 30 cm.,CEU Philosophy Department master theses ; 2018/9,English,"In my thesis, I am going to argue against the idea that the conditional analysis and the reason explanation are completely different projects. I will say that the conditional analysis and the reason explanation share many similarities and by bridging the two, the two groups of theorists can enrich their respective accounts. I will first reject the simple version of conditional analysis for its own deficiency. I will also point out that despite the initial impression that they are different, conditional analysis and the reason explanation are actually both about semantics investigation. I will then argue that part of the conditional analysis of freedom can be made to be a reason explanation of action, because it contains enough information explain the action in question. Thus by bringing the two even closer.",Degree: MA,PDF file (840k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Legal studies,MA,https://tinyurl.com/legalma2018,2018,60,https://sierra.ceu.edu/record=b1399467,http://www.etd.ceu.edu/2018/balaban_tatiana.pdf ,"Balaban, Tatiana","Choice of law and jurisdiction in E-commerce contracts with focus on B2C agreements : a comparative analyses of EU, US and China legal frameworks / Tatiana Balaban","Budapest : Central European University, 2018",70 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2018/3,English,"During the last few decades the world witnessed a rapid development of E-commerce transactions. Today, nearly 2 billion people are active users of online markets. E-commerce, in its unique way, is the only borderless market and this feature makes its regulation highly complicated as of today, states are not able to agree on uniform set of rules that will govern the immense online market. The international nature of E-commerce constantly raises legal questions as the law struggles to catch up to a changing world. The non-geographical nature of E-commerce makes the traditional application of choice of law and jurisdiction rules difficult to apply, as these were designed for a pre internet age, based on connection factors, the strongest being geographical in nature. In E-commerce, it is highly complicated for the parties to identify the real location of the other as the transaction is based on informal declarations that are not all the time accurate, and even these geographical indicators can fail while talking about the contracts performed online. In order to ensure predictability and certainty in E-commerce transaction instead of using connecting geographical indicators it would be more useful to identify proper law and jurisdiction based on party autonomy. However even in this hypothesis it is highly probable that improper law and jurisdiction will be applicable. Such risk emerges because of unequal bargain power of the parties, E-businesses are usually assisted by professional lawyers that are able to design the terms of an E-contract in the favor of their clients. At the same time consumers are less likely to be aware about the meaning and consequences of such clauses as choice of law and choice of jurisdiction, furthermore they are not even able to negotiate the terms before agreeing to them. Hence validity and enforceability of these clauses are of a primary importance, especially because of the fast growing online market. This thesis will outline the main features of E-commerce contracts with specific references on choice of law and jurisdiction clauses. Also thesis will provide an overview of choice of law and jurisdiction laws in the EU, US, and Chinese legal system.",Degree: MA,PDF file (997k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1429003,http://www.etd.ceu.edu/2020/elbasuoney_ahmed.pdf ,"Elbasuoney, Ahmed",Constitutional courts in transition / Ahmed Elbasuoney,"Budapest : Central European University, 2020",32 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/20,English,"The thesis examines the constitutional reforms to judicial review institutions in Egypt, Morocco and Tunisia in the waka of the Arab Spring",Degree: MA,PDF file (515k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Nationalism,MA,https://tinyurl.com/natma2019,2019,18,https://sierra.ceu.edu/record=b1421288,http://www.etd.ceu.edu/2019/kostic_mijat.pdf ,"Kostic, Mijat",Civilizationism and European identity : two arguments for anti-immigrant mobilization / Mijat Kostic,"Budapest : Central European University, 2019",82 p. ; 30 cm.,CEU Nationalism Studies master theses ; 2019/11,English,"The focus of the thesis is reaffirmation of European identity conceptualized on civilizational terms within the anti-immigrant discourse. I will analyze two different civilizational arguments that were used for securitization of migrant crisis in 2015 and have framed miass migration as the threat to European identity. Based on the analysis, I formulate my main hypothesis that the anti-immigrant discourse is the expression of certain form of Pan-European nationalism. In the first chapter of the thesis I will set up the theoretical background and explain the methodology that I will be using, while the second chapter will start with a historical overview of how Europe was conceptualized in the civilizational terms based on its unique culture and tradition. In the second part of this chapter I will make my remarks on different conceptions of European identity from the contemporary perspective. The third chapter consists of brief introduction to transnational populism and civilizationism as the main elements of the anti immigrant mobilization. The main analysis is conducted in chapter four, were I will deconstruct two different types of arguments for anti-immigrant mobilization. The first one that I refer to as the Christian argument is found in the discourse of Viktor Orban who opposes Islam based on its supposed incompatibility with traditional Christian values. On the other hand, secular argument that Wilders uses is based on the commitment to secular ideas and perception that Islam is incompatible with Western liberal values. In conclusion, I will try to answer the more ambitious question: how the anti-immigrant mobilization affects European solidarity and identification with Europe as the common culture? The aim to show that advocates of civilizationist arguments are interpreting those threats as the potential danger primarily to European collective identity, which is contained within their separate national identities. Even when populist anti-immigrant parties ii  claim that they are protecting their own national identities, they are putting it in the context of broader civilizational discourse in which the Muslim Other is a threat to Europe as a whole.",Degree: MA,PDF file (769k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Sociology,MSc,https://tinyurl.com/socma2019,2019,27,https://sierra.ceu.edu/record=b1419940,http://www.etd.ceu.edu/2019/atta_mennatullah.pdf ,"Atta, Mennatullah Reda Mohamed Mahmoud","""There is no such thing as revolutionary purity. Or is there?"" : exploring the meaning of revolutionary purity to the January 25th revolution and its revolutionaries in Egypt / Mennatullah Reda Mohamed Mahmoud Atta","Budapest : Central European University, 2019",59 p. ; 30 cm.,CEU Sociology Department master theses ; 2019/3,English,"In January 2011, a concentration of events and affects in Egypt and the Arab world led to the call for demonstrations on the 25th of January, demanding “bread, freedom, and social justice”. The response to the call for the demonstration was overwhelming and launched an 18-day sit-in within Tahrir Square in Cairo, as well as other sit-ins and demonstrations throughout Egypt and solidarity demonstrations in front of Egyptian embassies abroad, ultimately leading to deposing the former president Muhammad Husni Mubarak in February 2011. Between February 2011 and August 2013, a lifetime’s worth of violent and polarizing clashes and confrontations took place. The end result of these clashes and confrontations is the reinstatement of a military-led authoritarian regime that is cracking down on individual and collective liberties, enforcing harsh austerity measures under the guise of neo-liberal reform, and an increased sense of embitterment concerning living in Egypt. Within the experience of the Revolution, I investigate ‘revolutionary purity’ as a simultaneously powerful and ambiguous force, born out of an Arabic tradition of linking ‘Revolution’ and ‘Purity’ that influenced the trajectory of the Revolution in Egypt. By bringing together the life stories of active participants in the Revolution and my autoethnography as a witness of the Revolution from a distance, I argue that revolutionary purity came into being between the personal and the political; the revolutionaries’ personal aspirations and frustrations, and their unfolding modes of politicization throughout the lifetime of the Revolution. I also claim that revolutionary purity didn’t exist solely within the realm of the Revolution and its time. Its inception can be traced back to the everyday lives of people before the Revolution, as well as today through the experiences of revolutionaries living through the despair of the defeat of the Revolution.",Degree: MA,PDF file (484k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Gender studies,MA,https://tinyurl.com/genderma2018,2018,29,https://sierra.ceu.edu/record=b1400344,http://www.etd.ceu.edu/2018/vukosavljevic_jovana.pdf ,"Vukosavljevic, Jovana",Whose sex? : public opinion on sexual education initiative in Serbia / Jovana Vukosavljevic,"Budapest : Central European University, 2018",87 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2018/23,English,"The sex education initiative was introduced in 2013 by the Serbian Provincial Secretariat for Sports and Youth as an elective course in Serbian high schools. This type of project has not yet been recorded in Serbian education, therefore it received an enormous amount of attention. In this thesis, I look at the discourses of sex education in contemporary Serbia, through a content analysis of media texts, political statements and social media, as well as by analyzing interviews conducted with parents in the capital of Serbia, Belgrade during April 2015. In my thesis I argue that the narratives around sexual education reflect the nationalist ideas, as well the ongoing debate on “Europeanization” in Serbia. By presenting the role of women's body in the nationalist rhetoric, I examine the topics on women, reproduction and nation through the analysis of perceptions of sex education in Serbia. Later on I present how the narratives of sex education reflect the idea of East/West, tradition/modernity in Serbia. My case study contributes to existing scholarship on gender and nationalism in Serbian context, adding sex education as an angle for the analysis.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399922,http://www.etd.ceu.edu/2018/simsek_caner.pdf ,"Simsek, Caner",Populism as distant relative of terrorism / Caner Simsek,"Budapest : Central European University, 2018",57 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/34,English,"What is the lowest common denominator of populist voters? What unites the voter bases of populist parties? Considering populism primarily as a strategy and drawing on the grievance model of political action that is prevalent in the terrorism literature, this thesis investigates the reasons for the populist upsurge. Similarities identified between terrorism and populism contribute to a better understanding of both phenomena. By analyzing the European Social Survey Round 8 data with logistic regression, it demonstrates that perceived lack of opportunities for political participation is a strong predictor of populist voting. It further demonstrates that individuals with cultural and economic grievances are more likely to vote for right-wing and left-wing populist parties respectively.",,PDF file (634k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Legal studies,MA,https://tinyurl.com/legalma2018,2018,60,https://sierra.ceu.edu/record=b1399530,http://www.etd.ceu.edu/2018/simic_nemanja.pdf ,"Simic, Nemanja",Following the US approach on private equity structures in Serbia / Nemanja Simic,"Budapest : Central European University, 2018",71 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2018/28,English,"Private equity is a concept that encompasses many related disciplines, like business, economy, financing, management, etc. This thesis aims to provide a clear overview of one of its layers â€“ the legal one. Out of several branches of law affected by this concept, the research will focus primarily on structuring, i.e. on the choices of corporate vehicles for business operations and legal consequences that such choices brings with them. In addition, special attention will be paid to tax considerations of such options as they by default heavily affect both the choice of business vehicles and operations of private equity industry in general. The primary reason for making such analysis lies in the fact that up to date scholarly works on legal aspects of private equity in Serbia are essentially descriptive. They do not give the answer as to why private equity industry in the country has not made a substantial progress for more than a decade after its regulation. Nor do they establish a comparative model upon which the industry can look upon. In this research, it is suggested that the US system may serve as such model. For these purposes, it explores the characteristics of the US system and the options it offers. The thesis will conclude that having a choice between several business vehicles and tax treatments is beneficial for the development of private equity industry in a country. Notably, the system needs to provide the possibility for private equity funds and firms to operate as flexible entities that are also fiscally transparent. This conclusion outlines the need for the developing countries to constantly reexamine their approach when it comes to the legal treatment of private equity. Overall, the research shows that civil law systems have many lessons to adopt from the American experience with the regulation of private equity industry. Out of it also comes the recommendation for future scholarly works on alternative models for the development of the industry in Serbia.",Degree: MA,PDF file (785k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Environmental sciences,MSc,https://tinyurl.com/envma2019,2019,16,https://sierra.ceu.edu/record=b1422715,http://www.etd.ceu.edu/2019/voski_anais.pdf ,"Voski, Anaïs",The ecological significance of the overview effect : environmental attitudes and behaviours in astronauts / Anais Lynn Voski,"Budapest : Central European University, 2019",112 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2019/15,English,"In the context of the 21st century’s intensifying ecological crisis and the New Space Age, this year’s 50th anniversary of the Apollo 11 Moon landing provides a functional framework for investigating potentially unknown connections between environmentalism and human space exploration. Limited evidence in the existing literature suggests that the Overview Effect – the cognitive shift in awareness experienced by astronauts as a result of seeing Earth from outer space – may contain much greater ecological dimensions than has been previously implied. Based on 14 first-hand interviews with astronauts, this study utilizes interpretive phenomenological analysis to qualitatively demonstrate that the Overview Effect has a distinct ecological significance that results in positive changes to astronauts’ environmental attitudes and behaviours. Besides this change, the results qualitatively map the breadth and depth of astronauts’ present environmental attitudes and behaviours, which has also not been done prior to this study. The outer space perspective of Earth, which includes negative perceptual views of anthropogenic ecological destruction on the surface of the planet, is shown to add a new and additional element to environmentalism, and as such discourse analysis is used to demonstrate how the ecological impulse concept is useful for advancing theoretical formulations of how spaceflight affects environmental attitudes. Furthermore, an expanded definition of the astroenvironmentalism concept is proposed to encapsulate this distinct form of environmentalism, to facilitate more straightforward discussions on the topic, and to make this phenomenon and form of environmentalism more relevant and accessible to a wider audience.",Degree: MSc,PDF file (1581k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
Environmental sciences,MSc,https://tinyurl.com/envma2018,2018,22,https://sierra.ceu.edu/record=b1401939,http://www.etd.ceu.edu/2018/jawaid_eqra.pdf ,"Jawaid, Eqra","The growth of solar off-grid energy technology : a case study of Dharnai solar village in Bihar, India / Eqra Jawaid","Budapest : Central European University, 2018",67 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2018/12,English,"Despite the efforts of rural electrification from both central and state governments, Bihar is the least electrified state in the country. It is found in the literature that decentralized solutions such as renewable off-grid systems can be a viable and more efficient option for rural electrification. Recently, a smart solar off-grid system has been developed in Dharnai village in Bihar with the assistance of Greenpeace India. The aim of the thesis was to investigate and identify drivers and barriers to the growth of the solar off-grid system in Dharnai, fill the knowledge gap about the solar off-grid sector, and provide recommendations to improve the sector in the state. Data collected from interviews and focus group discussion in Dharnai was analyzed using Painuly’s (2001) framework. The findings suggested that significant drivers are unmet demands of consumers, policy ambitions, consumer’s capacity and willingness to pay, benefits of solar perceived by consumers, an indicator of development, and uncertainty about the grid connection. Furthermore, significant barriers to the growth of solar off-grid systems are policy loopholes, unmet demands of consumers, consumer’s affordability, and lack of financing options. The thesis recommends that the Bihar government should start awareness campaigns to improve consumer’s lack of awareness about the benefits of solar off-grid systems; make grid expansion predictable so that consumers have clarity about its timeline; take appropriate measures to improve financing and overall affordability of the consumers.",Degree: MSc,PDF file (1571k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA
