department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,author,title,published,description,series,language,summary,note,filetype,localnote,access,systemdet,subject,alttitle,program_sampling,coder,folder_name
Mathematics,MA,https://tinyurl.com/mathma2018,2018,3,https://sierra.ceu.edu/record=b1318711,http://www.etd.ceu.edu/2018/mate_balint.pdf ,"MÃ¡tÃ©, BÃ¡lint ÃdÃ¡m",Logarithmic Hodge theory on line bundles / BÃ¡lint ÃdÃ¡m MÃ¡tÃ©,"Budapest : Central European University, 2018",43 p. ; 30 cm.,CEU Department of Mathematics master theses ; 2018/2,English,"This thesis intends to serve as an introduction to Hodge theory in the simplest possible setting: our base manifold is a compact Riemann surface Î£ without boundary, the vector bundle E â Î£ is the trivial complex line bundle. In this setup the Betti, the de Rham and the Dolbeault groupoids are introduced and their equivalence is investigated. The proof of the equivalence of the de Rham and Dolbeault groupoids uses the existence of harmonic metrics with respect to a connection D on E. The thesis concludes with the generalisation of the existence of such metrics to the case where the connection is no longer smooth but has logarithmic singularities, and the weight of the associated local system vanishes.",Degree: MSc,PDF file (410k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,mate_balint.pdf 
Sociology,MSc,https://tinyurl.com/socma2018,2018,22,https://sierra.ceu.edu/record=b1399151,http://www.etd.ceu.edu/2018/nanda_preetika.pdf ,"Nanda, Preetika",An archive of witnessing : unraveling the Indian state through memoryscapes of Punjab / Preetika Nanda,"Budapest : Central European University, 2018",77 p. ; 30 cm.,CEU Sociology Department master theses ; 2018/4,English,"This thesis is about Punjab- a border state in northern India which was embroiled in heightened violent conflict from 1984 to 1995. Through this research, I attempt to study the Indian state from the vantage point of two memoryscapes: the dominant/national memory vis-Ã -vis Punjab and the collective/counter memory formations of the Sikh community in Punjab. In doing so this thesis will look at the proceedings of the National Human Rights Commission and its treatment of mass atrocities in Punjab through Foucauldian biopolitics and governmentality. The âmeta-archiveâ of NHRCâs case file reiterates the popular and totalizing discourse on counter-insurgency war in Punjab, as a âdefeat of terrorismâ , a restoration of order and normalcy. It is imbued with power to effectively elide and depoliticize social suffering, shaping societal opinion and a replication of its institutional practice. Latter half, of the thesis delves into the bloodied ramifications on the life worlds of the People of Punjab, a fragment of which I have tried to recover by wording their memories and embodied experiences. Beginning from reflections on brief vignettes on collective memory and its manifestation in things people preserve, I extend Foucaultâs concept of counter-memory to counter-archives and look at documentation as sites of potential resistance. In the last section, I delineate the relationship between space, violence and memory, followed by an illustrative account on performing memorialization in sacred space and potential for protest.",Degree: MA,PDF file (1052k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,nanda_preetika.pdf 
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399917,http://www.etd.ceu.edu/2018/popp_livia.pdf ,"Popp, Livia-Angela",Nonresponse to politically-sensitive questions across political regimes / Livia-Angela Popp,"Budapest : Central European University, 2018",73 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/29,English,"The purpose of this study is to identify the relationship between political regimes and unit nonresponse, ""don't know"" item nonresponse and ""no answer"" item nonresponse, seeking to use willingness to answer politically-sensitive questions as a proxy to measure the quality of democracy. Using data from World Values Survey's sixth wave to measure nonresponse, as well as data from Freedom House, V-Dem, Polity IV and The Economist Intelligence Unit's Democracy Index to measure democratization, I conducted correlations and multiple linear regressions in order to see the relationship between political regimes as my independent variable and types and amounts of nonresponse.  The results of the analysis is that contrary to what the literature suggested, namely that nonresponse will be either most spread across democratic regimes due to oversaturation, or across non-democratic regimes due to preference skewing. The highest levels of nonresponse were found in flawed democracies, yet the results of the analysis should be accepted with caution, as regime type did prove to not have much explanatory power over the distribution and type of nonresponse recorded.",,PDF file (1674k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,popp_livia.pdf 
Economics,MA,https://tinyurl.com/ecoma2019,2019,72,https://sierra.ceu.edu/record=b1421201,http://www.etd.ceu.edu/2019/racz_tibor.pdf ,"RÃ¡cz, Tibor",How does whistleblowing and leaking affect anti-money laundering policy changes in the European Union? / Tibor RÃ¡cz,"Budapest : Central European University, 2019",72 p. ; 30 cm.,CEU Economics Department master theses ; 2019/23,English,"Purpose: The purpose of this Thesis to detect whether whistleblowing and exposed leaks are triggers for anti-money laundering policy changes and analyze those changes in the European Union and in some of the Member States of the European Union. Design/Methodology/Approach: Literature review, analysis of recent scandals and the policy responses. Additionally I conducted an interview with the member of the cabinet of VÄra JourovÃ¡, European Commissioner for Justice, and Consumers and Gender Equality. I also analyzed news, investigative articles, and leaked database connected to money laundering schemes. Findings: Such giant leaks like the Panama Papers, revealed three years ago, has serious impacts on policy making, even in the anti-money laundering field in the European Union. The purpose of money laundering is to hide the origin and legalize dirty money, therefore without insider information, for example transfers from banks and mails would be very hard to know about the process and regulate the field. Money laundering is also a threat not just for the financial sector but the whole economy. Originality/Value: The topic is original, because this connection between leaks and anti-money laundering policy changes has rarely been subject of research that was also one of the limitations of the Thesis. That is also the reason behind I used sources like newspapers or database of investigative journalist organizations. The papers value also that I used real transactions from leaks thanks to Organized Crime and Corruption Reporting Project for get me access to their database.",Degree: MA,PDF file (995k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,racz_tibor.pdf 
Mathematics,MA,https://tinyurl.com/mathma2019,2019,3,https://sierra.ceu.edu/record=b1421494,http://www.etd.ceu.edu/2019/ramanantoanina_andri.pdf ,"Ramanantoanina, Andriamahenina",Topological classification of links associated with plane curve singularities / Andriamahenina Ramanantoanina,"Budapest : Central European University, 2019",36 p. ; 30 cm.,CEU Department of Mathematics master theses ; 2019/3,English,"In order to protect users from spam, financial scams or malware, security com- panies, such as ESET,1 tend to block dangerous domains and Internet Protocol (IP) addresses. Many of them are chronically known for spreading malware and thus blacklisted, while others are known as clean and whitelisted sources. However, most dangerous domains/IPs are unknown. The aim of this project is to assign a malware probability to domains/IPs using a large scale data on a temporal bipartite network. We model the associated reputation problem as a network interference and graph mining problem, where we construct layers of domains and IP addresses, and seed tthe network with empirical ground truth on malware sources. Then we run the voter model of information spreading to estimate marginal probabilities of domains/IPs being blacklisted. Our analysis provides an intuitive, scalable way of identifying previously unknown, dangerous sources online.",Degree: MSc,PDF file (987k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,ramanantoanina_andri.pdf 
Nationalism,MA,https://tinyurl.com/natsma2020,2020,25,https://sierra.ceu.edu/record=b1429748,http://www.etd.ceu.edu/2020/sadusky_elizabeth.pdf ,"Sadusky, Elizabeth Marie","What do you mean Christian democracy? : an analysis of conflicting claim making of the Fidesz, Christian Democratic Union, and Austrian Peoples Party on Christian Democratic Ideology  / Elizabeth Marie Sadusky","Budapest : Central European University, 2020",141 p. ; 30 cm.,CEU Nationalism Studies master theses ; 2020/17,English,"The 2015 refugee reception crisis had profound impacts on the European Union. This thesis is an investigation of its effects on the growing rifts within the Christian Democratic party family. Specifically, it analyzes how three governing Christian Democratic parties responded to the crisis, what their response says about their claim making on the Christian Democratic ideology, and their interactions with one another. The response and claims being made by these parties will be historically, institutionally, and politically contextualized. In order to do so I will utilize the discourse historical approach of critical discourse analysis and process tracing. In light of this analysis, I argue that the Hungarian Fidesz party, with OrbÃ¡n at its helm, has engaged in the social creativity strategy of identity management and created a new claim on Christian Democracy. This claim combines nationalism, populism, and civilizationism, wherein the âChristianâ component of Christian Democracy is central. The German Christian Democratic Union, headed by Angela Merkel has made no such grand ideological claims but rather has been characterized by caution, pragmatism and centrism. Even while refusing to backdown rhetorically from a defense of the rights of asylum seekers and the responsibility of Germany, and the EU more broadly, to help, their policy making reflected collaboration, cooperation, and concession on these principles. The Austrian Peopleâs Party engages in both approaches, fluctuating between the two without overindulging in either. The approach this paper takes, and the examples put forth by these parties can be utilized to investigate trends in other Christian Democratic parties, or even other party families, in the wake of major events. The information obtained from the analysis of the claim making of these parties sets the stage for the future of the Christian Democratic party family and ideology.",Degree: MA,PDF file (1181k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,sadusky_elizabeth.pdf 
School of public policy,MA,https://tinyurl.com/sppma2018,2018,41,https://sierra.ceu.edu/record=b1401876,http://www.etd.ceu.edu/2018/shamiev_kirill.pdf ,"Shamiev, Kirill",The influence of interest groups on the military policy sustainability in Russia (2007 - 2012) / Kirill Shamiev,"Budapest : Central European University, 2018",50 p. ; 30 cm.,CEU School of Public Policy master theses ; 2018/36,English,"The security status-quo in Russia from 2007 to 2012 is often described as the period of ""Serdyukov reforms"". During the 6 years Russian armed forces faced unprecedented changes that affected its structural, economic, social and ideological elements. However, despite outstanding political and financial support of the Minister of Defense, Anatoliy Serdyukov, from Vladimir Putin and Dmitrii Medvedev, not all aims were fulfilled, and some changes were rolled back. This research examines the role of interest groups in the sustainability of the military policy of that period. Using the theoretical framework of minimum winning coalitions in the policy process of non-democratic state the research shows that the reformers faced formal and informal resistance of mobilized interest groups that they could not overcome considering the existed political and administrative limitations. Ultimately this process led to the Minister of Defense resignation and stopped radical changes in contemporary Russian armed forces",Degree: MA,PDF file (640k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,shamiev_kirill.pdf 
IR,MA,https://tinyurl.com/iresma2019,2019,40,https://sierra.ceu.edu/record=b1421604,http://www.etd.ceu.edu/2019/simic_jovana.pdf ,"Simic, Jovana",Does this drone match my outfit? : challenges to United States self-identity in the age of autonomous weapons  / Jovana Simic,"Budapest : Central European University, 2019",68 p. ; 30 cm.,CEU International Relations Department master theses ; 2019/33,English,"In the age of ever bigger dominance of the robotics over the realm of human activities, one of the most problematic aspects of it is visible in warfare. In order to keep it humane and in the line with the law of war, politics, civil society and academia participate in the debate which delineates the limits and conditions of the use of autonomous weapon systems (AWS). United StatesÃ¢â¬â¢ army is one of the most active when it comes to usage of autonomous weapons, still manned by distant operators. US often uses it in counterterrorist endeavors, but criticisms and debates over the legality and the morality of the use do not stop. As the US is a country which claims to hold itself to the highest standards of lawfulness and morality, this research aims to look at how use of autonomous weapons has been accommodated into this narrative and whether autonomous weapons are a threat to the US vision of the Self. This will be done through the lens of ontological security theory, while employing the literature on military ethics and AWS. Preliminary, thesis shows that the AWS narrative is well accommodated into the US narrative of the Self, but it also show that it is challenged from the aspect of evolution of military ethics under AWS.",Degree: MA,PDF file (845k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,simic_jovana.pdf 
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399922,http://www.etd.ceu.edu/2018/simsek_caner.pdf ,"Simsek, Caner",Populism as distant relative of terrorism / Caner Simsek,"Budapest : Central European University, 2018",57 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/34,English,"What is the lowest common denominator of populist voters? What unites the voter bases of populist parties? Considering populism primarily as a strategy and drawing on the grievance model of political action that is prevalent in the terrorism literature, this thesis investigates the reasons for the populist upsurge. Similarities identified between terrorism and populism contribute to a better understanding of both phenomena. By analyzing the European Social Survey Round 8 data with logistic regression, it demonstrates that perceived lack of opportunities for political participation is a strong predictor of populist voting. It further demonstrates that individuals with cultural and economic grievances are more likely to vote for right-wing and left-wing populist parties respectively.",,PDF file (634k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,simsek_caner.pdf 
Legal studies,MA,https://tinyurl.com/legalma2018,2018,60,https://sierra.ceu.edu/record=b1400115,http://www.etd.ceu.edu/2018/smith_alexandra.pdf ,"Smith, Alexandra Marie",Absent justice : an argument for trial in absentia after the death of the defendant in cases of gross human rights violations / Alexandra Marie Smith,"Budapest : Central European University, 2018",64 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2018/42,English,"This thesis proposes continuing trials in absentia as an alternative to closing proceedings after the death of the defendant in cases of gross human rights violations. The proposal is viewed as part of an expanding array of mechanisms aimed at guaranteeing victims rights. I ground the proposal in an understanding of the goals of transitional justice, and the alternative measures available to meet these goals. Coming to a final verdict in an international criminal trial is an important step toward meeting transitional justice goals including the utilitarian and retributive goals achieved through ruling on liability, and symbolic justice for victims. In general, trial in absentia is viewed as acceptable by international and regional human rights courts if safeguards are met. Different international tribunals have approached trial in absentia with varying degrees of tolerance. This thesis examines international and regional standards surrounding trial in absentia, including case-law from the Human Rights Committee (HRC), International Criminal Court (ICC), International Criminal Tribunal for the Former Yugoslavia (ICTY), International Criminal Tribunal for Rwanda (ICTR), and European Court of Human Rights (ECtHR), and concludes that partial in absentia trials will likely continue to be permitted in international law. This thesis devotes a separate chapter to analysis of trial in absentia at the International Military Tribunal (IMT) and the Special Tribunal for Lebanon (STL), the Statutes of which explicitly allow for proceedings in the absence of the defendant. Despite the strong tradition dictating that a trial should end upon the death of defendant, legal theory and precedent shows that international criminal law allows for some procedural flexibility in favor victimâs rights, due to the gravity of international core crimes and the sui generis nature of international tribunals. In order to establish guidelines surrounding when flexibility can occur, this thesis examines international law in the frame of Packerâs two models, as well as the work of Damaska and MegrÃ©t, and case-law from the European Court of Human Rights. The thesis concludes by examining how trial in absentiaâusually resulting from the flight of the defendant, the defendantâs refusal to appear at his or her trial, the defendantâs disruption of the courtroom, or serious medical needs of the defendantâcan apply to cases where the defendant has died, without violating human rights norms. This thesis ultimately advocates for the adoption of a waiver system in which the defendant may agree to the continuation of his or her trial after death.",Degree: MA,PDF file (666k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,smith_alexandra.pdf 
Philosophy,PhD,http://tinyurl.com/yhque8b, PhD (all years),45,https://sierra.ceu.edu/record=b1189216,http://www.etd.ceu.edu/2016/somodi_gergo.pdf ,"Somodi, Gergo",A perlocutionary account of metaphors / Gergo Somodi,"Budapest : Central European University, 2015",151 p. ; 30 cm.,CEU Philosophy Department PhD theses ; 2016/1,Analysis (Philosophy),English,"Much has been said about metaphors in philosophy of language, but few such thought provoking and controversial papers had been written on how they âwork their wondersâ than Donald Davidsonâs What Metaphors Mean (1978). In the last four decades many linguist, philosopher and cognitive scientist, working on an account of how we communicate by means of metaphors, started with pointing out what Davidson got wrong or right. His view that metaphor carries no special meaning or content different form the literal meaning of the expressions it is comprised of, that it is simply a tool to draw our attention to similarities, served as the starting point for many to articulate their own theory (cf. Bergmann, 1982; Rorty and Hesse, 1987; Moran, 1989; Hills, 1997; Stern, 2000; Camp, 2003; Guttenplan, 2005; Reimer and Camp, 2006; Camp, 2008; Stern, 2008; Reimer, 2008; Lepore and Stone, 2010). îis thesis is no different. I think what Davidson essentially got right is emphasizing the causal effects of metaphors, i.e., that metaphors nudge us into noting similarities, to take on a new perspective on the mentioned things. He also thoughtâto anticipate, this will be where I disagreeâthat this is the ulterior aim of metaphor and the metaphorical speaker. Consequently, according to Davidson, there is no special meaning the speaker aims to convey, given that this effect can be achieved by the literal meaning of the uttered sentence, or its comprehension thereof. îis is not to deny that the metaphor has a point iv or that it inspires a lot of thoughts. In his Communication and Convention, Davidson (1984, 273) links what he calls ulterior purposes of utterances to John L. Austinâs notion of perlocution (Austin, 1962); acts people perform by uttering sentences. Such an act for instance is, making the audience to undertake certain actions by asking them to do so, or to surprise them by what one is saying. Given this much, Davidson (1978) can be described as developing a perlocutionary theory of metaphor (cf. Lepore and Stone, 2010). My aim is to show that a perlocutionary theory does not have to follow Davidsonâs arguments and conclusions, just roughly outlined above. After a careful examiniation of the notion of metaphorical meaning, the perspectival effect of metaphors, and the notion of perlocution and perlocutionary effects, I will argue, first, that metaphorsâs effect of making us see something in a new light is indeed a perlocutionary effect. I call this the Perlocution Claim. Second, I will also point out that achieving perlocutionary effects are not necessarily the ulterior purposes of the speakers. In most cases, they are just one among the many intended effects a speaker can have in uttering something. Consequently, Davidsonâs claims about the casual effects of metaphors will not support his conclusion that there is no metaphorical meaning beyond the perspectival effect of metaphors, in as much as there are examples where eliciting the metaphorical effect is not the final aim of the speaker. Examples are not hard to find, and they support the existence of metaphorical meaning contrary to Davidson. Nevertheless, recent theories of metaphorical meaning do not fit well with the Perlocution Claim. Partly, because they reject the claim as belonging to Davidsonian non-cognitivsm (cf. Stern, 2000), a label introduced to designate theories denying the existence of metaphorical meaning. Additionally, because they also consider perlocutionary effects to be final, non-linguistic, aims of utterances. îe proposed theory of metaphor endorsing the Perlocution Claim relies on the v distinction between different possible realizations of perlocutionary effects. It incorporates a non-cognitivist theory for some examples of metaphors while at the same time, using the same theoretical framework, it provides an account of how metaphorical utterances have a special meaning on certain occasions. As a theory of metaphorical meaning, it is close to that developed by Elisabeth Camp (2003; 2008; 2014) on which if there is a metaphorical meaning, it is an inexplicit meaning which the hearer has to recover by way of cultivating the perspective offered in the metaphor.",Degree: PhD,PDF file (641k),ETD,,Language and languages -- Philosophy,,PhD,2,somodi_gergo.pdf 
Sociology,PhD,http://tinyurl.com/kqqlj35,PhD (all years),36,https://sierra.ceu.edu/record=b1158251,http://www.etd.ceu.edu/2011/sphkoc01.pdf ,"Kocze, Angela","Gender, ethnicity and class : Romani women's political activism and social struggles / Angela Kocze","Budapest : Central European University, 2011",210 p. ; 30 cm.,CEU Sociology Department PhD theses ; 2011/2,Women political activists,English,"In the academic literature on Roma/Gypsies there is only a limited attention on Romani women political activism and social struggle. The concept of gender rather treated as an isolated category than as a social factor which intersects with other categories of identity for purposes of understanding and combating inequality. The aim of this dissertation has been to explain and analyze through empirical material the manifestations of gender, ethnicity and class in contemporary Romani womenâs life. To narrow my study, I have focused on transnational and local (particularly Hungarian) Romani womenâs political activism and social status, from the structural through the discursive and biographical level. I aimed to go beyond the superficial representation of womenâs activism, by describing the complicated relationship and intercations among donors, NGOs, other Roma and non-Roma activists, and also within their groups. With the above outlined concerns in my mind, I undertook an empirical research project at the transnational level (mapping the various Roma networks and international resource centers) and at the local level (SzikszÃ³, Hungary). As part of my research, I closely observed âwomenâs issuesâ at the transnational and the local level, as well as discourses and activities through which they promote âRomani womenâs rightsâ and âhuman rights and democracyâ under the banners of âempowering Romani womenâ. This area is under-researched and lacks theoretical conceptualization. The approach I have opted to take bridges empirical and theoretical gaps in the study of sociology and anthropology, particularly in respect of the representation of Roma in the academic text as well as to raise the profile of the research field by diminishing the marginalized position of them within the social sciences as a whole.",Degree: PhD,PDF file (2324k),ETD,Unrestricted,"Women, Romani -- Hungary",,PhD,2,sphkoc01.pdf 
Political science,MA,https://tinyurl.com/polma2019,2019,46,https://sierra.ceu.edu/record=b1421019,http://www.etd.ceu.edu/2019/stefani_benedict.pdf ,"Stefani, Benedict Paul Michael",Can impartiality be enforced when corruption is systemic? : the impact of the National Anticorruption Directorate on favouritism in local public procurement / Benedict Paul Michael Stefani,"Budapest : Central European University, 2019",95 p. ; 30 cm.,CEU Political Science Department master theses ; 2019/29,English,"Can increased judicial and electoral accountability in the form of strong anti-corruption agencies (ACAs) have a profound effect on corruption when it is systemic? Empirical evidence is mixed. Where success is absent, it remains unclear whether this is due to an insufficient implementation of ACAs and the legal framework they operate in or, as other scholars suggest, a misconceptualisation of systemic corruption. The present work addresses this controversy by bringing the deterrence effect and the political selection effect that the predominant principalagent- theory based literature suggests to an empirical test in the critical case of Romania. This is done by assessing the impact of National Anticorruption Directorate (DNA) prosecution in two forms â the announcement of investigations and the announcement of the final sentence â on favouritism in local public procurement. Based on 1.4 million public procurement contracts, Propensity Score Matching is employed to estimate the Average Treatment Effects on the Treated (ATTs) and the Conditional Average Treatment Effects on the Treated (CATTs) for Romanian localities affected by DNA prosecution concerning a composite risk score based on three red flags in the tendering process and a market domination indicator. The data reveals that the theoretical predictions cannot be confirmed. These findings may suggest that systemic corruption requires a more comprehensive approach which goes beyond currently predominant policies.",,PDF file (1209k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,stefani_benedict.pdf 
Nationalism,MA,https://tinyurl.com/natma2019,2019,18,https://sierra.ceu.edu/record=b1421300,http://www.etd.ceu.edu/2019/szegofi_akos.pdf ,"SzegÅfi, Ãkos","From Jack the Ripper to Jamal the Rapist : disinformation, blood libel and the imagery of the immigrant criminal / Ãkos SzegÅfi","Budapest : Central European University, 2019",86 p. ; 30 cm.,CEU Nationalism Studies master theses ; 2019/16,English,"This thesis sets out to conceptualize the current moment of disinformation (called post-truth era by some researchers) arguing that there were several similar moments in Western history. The specific moment the thesis choose for comparison was the late 19th century, when â according to the assumptions of the thesis â the emerging mass media might have posed a similar challenge to human cognition as the emergence of social media does in contemporary times. The thesis works with Cultural Attraction Theory as its main framework and utilizes a case study methodology with discourse analysis. The particular disinformation that it focused on was a 19th century âblood libelâ-case concerning immigrant populations and compared it to post-2015 disinforming narratives about refugee-seekers. The major findings consist of showing how similar ecological settings constitute to similar narratives due to the specificities of human cognition, while introduced Cultural Attraction Theory to the study of blood libels and disinformation in general.",Degree: MA,PDF file (2316k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,szegofi_akos.pdf 
Economics,Business,https://tinyurl.com/ecobus2019,2019,14,https://sierra.ceu.edu/record=b1423211,http://www.etd.ceu.edu/2019/szilagyi_laszlo.pdf ,"Szilagyi, Laszlo Janos",Data analysis and model building support for the development of a future mHealth solution for musculoskeletal diagnosis / Laszlo Janos Szilagyi,"Budapest : Central European University, 2019",11 p. ; 30 cm,CEU Economics and Business Department master theses ; 2019/11,English,"This capstone project for the CEU Msc in Business Analytics program aims to provide data analysis and model building support for the development of SportklinikaÃ¢â¬â¢s Mobile Motion Lab, the basis of a future mHealth solution for musculoskeletal diagnosis.",Degree: MSc,PDF file (63k),ETD,Capstone  project,Unrestricted,.,,Business,2,szilagyi_laszlo.pdf 
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1429077,http://www.etd.ceu.edu/2020/tarkhnishvili_keteva.pdf ,"Tarkhnishvili, Ketevan",Enforcement of international mediated settlement agreements under Singapore Convention in comparison to enforcement of international arbitration awards under New York Convention / Ketevan Tarkhnishvili,"Budapest : Central European University, 2020",37 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/72,English,"The most essential motivation for adoption of Singapore Convention was to establish something similar for mediation as New York Convention is for arbitration. The most important achievement of international arbitration compare to international mediation has always been considered its predictability and the guarantees of enforcement. However, after appearance of Singapore Convention, the international mediation has the perspective to reach the same heights as international arbitration does. Accordingly, the intend of the research is to find out, whether the application of Singapore Convention can potentially become as widely used and as successful as it is in case of New York Convention. For the mentioned purpose the paper provides the comparative analyzes of core provisions such as scope for application, general principles and reservations of Singapore Convention in compare to the similar Articles under New York Convention. The paper also compares the main terminological differences and its backgrounds in those two Conventions.",Degree: MA,PDF file (722k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,tarkhnishvili_keteva.pdf 
Environmental sciences,MSc,https://tinyurl.com/envma2018,2018,22,https://sierra.ceu.edu/record=b1401947,http://www.etd.ceu.edu/2018/tofiloski_slobodan.pdf ,"Tofiloski, Slobodan",Geospatial analysis of water-associated infectious diseases : case of Myanmar / Slobodan Tofiloski,"Budapest : Central European University, 2018",107 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2018/20,English,"Water can serve as a medium for pathogenic organisms, posing substantial health treats to humans through the variety of pathways. Water-associated infectious diseases are a major cause of morbidity and mortality in Myanmar. The recent environmental and social changes in Myanmar have significant influence over water-associated infectious diseases and it is expected for that trend to continue in future. Alterations in climate factors, human migration caused by several ongoing armed conflicts, low levels of sanitation, difficult access to clean drinking water, increased agricultural practices and industrialization; all of them can change the patterns of distribution, emergence, and re-emergence of the water-associated infectious diseases in Myanmar. This research utilizes the social and environmental determinants mentioned above and water-associated prevalence data in conjunction with a GIS analysis method, to present the distribution and risk of the water-associated diseases in Myanmar and their relation with diverse factors. The results show that Yangon has the highest number of waterborne diseases outbreaks and second highest number of water-related diseases outbreaks. Results also show that there is specific interconnected influence of different factors, with some of them dominating in certain states or regions.",Degree: MSc,PDF file (2730k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,tofiloski_slobodan.pdf 
School of public policy,PhD,http://tinyurl.com/gl5s68p, PhD (all years),20,https://sierra.ceu.edu/record=b1428103,http://www.etd.ceu.edu/2020/torotcoi_simona.pdf ,"Torotcoi, Simona",From international commitments to institutional reality : the case of higher education policy in Europe / Simona Torotcoi,"Budapest : Central European University, 2020",245 p. ; 30 cm.,CEU School of Public Policy PhD theses ; 2020/3,"Education, Higher -- Europe",Degree: PHD,Education and state -- Europe,English,PDF file (11748k),"This dissertation aimed to address the implementation gap of the Bologna Process (BP) as a transnational, voluntary higher education policy framework. Established 20 years ago as a voluntary cooperation initiative on higher education cooperation in Europe, the BP has set important policy objectives for national higher education systems and Europe at large. While government representatives, through the ministerial meetings constantly agree on what they should implement in their national higher education systems, implementation reports show considerable differences between countries and higher education institutions (HEIs) with regard to implementation. Starting with the early stages of the BP scholarly work has demonstrated that there is an increasing interest in studying the different dimensions of BP implementation. A considerable amount of these studies has focused on assessing and explaining the different levels of BP implementation yet there is a gap in addressing the implementation of the BP from an integrated perspective. This dissertation aimed to fill this gap and asked What are the factors explaining the different levels of implementation of higher education policies within the Bologna Process? First of all, this dissertation seeks address the research gap by focusing on specific policy areas within the BP (quality assurance and the social dimension), diverse county contexts and higher education institutions within such contexts (Moldova, Portugal, and Romania). Secondly, it aims to contribute to the broader policy implementation literature by providing a conceptual understanding of policy implementation, by breaking it into adoption, transposition and practical implementation, and by putting forward an integrated set of factors for each of the three implementation stages, and empirically test them through semi-structured interviews. The dissertation hypothesizes three causal mechanisms for each of the implementation levels. Firstly, is hypothesized that adoption is the result of policy fit between commonly agreed policies at the BP level and national preferences and interests, as resulted through national representativesâ participation in BP. The causal model predicts that if BP policies have the support of top domestic actors and structures, this may push the national policies closer to the ones promoted by the BP. As a result, BP structures prefer to collaborate with those domestic actors who are in favor of its policies. Secondly, specific to the transposition stage it can be hypothesized that mutual learning and other socialization processes equip governmental agencies and bodies, societal actors, and the academic community with information about the main developments at the EHEA level and contribute to national level policy-making by feeding back national policy makers, affecting the choice for specific policy instruments and implementation mechanisms. Last but not least, at the HEIs level rectors and top-managers, academic and administrative staff, and students develop institutional plans and policies in line with the national level policies or the BP depending on their participation as stakeholders in the policy-making processes, autonomy and the added value of the policies in question. First of all, this dissertation highlighted the complex relationship between the BP, national, and institutional policy-making and the importance of national and institutional (interest) structures, actors (coalitions) and processes in connecting these levels. While it is assumed that that there is a âfilterâ when it comes to the implementation the BP commitments, with each level and layer of policy-making preconditioning the following (adopting the necessary legislation, transposition and institutional practices) this dissertation has shown that this is very much dependent on the policy in question. Quality assurance (QA) is a rather structural and technical area, with clear conceptualizations and operationalizations, with structures and bodies at the European, national and institutional level, whereas the social dimension (SD) is underdeveloped in this respect. HEIs implement QA policies because of the competitive environment they have to operate in but also because of the existent monitoring mechanisms (at the institutional, national and BP level). The SD is a rather sensitive area, with most of the universities putting forward their preferred approaches on how to deal with such issues. If in the case of QA in most of the country cases there is a national level agency which pushes for implementation at the HEIs level, in the case of SD the situation is loose.",ETD,"CEU Doctoral School of Political Science, Public Policy and International Relations",,PhD,2,torotcoi_simona.pdf 
