department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,Author,Title,Published,Description,Series,Language,Summary,Note,File Type,Local note,Access,System Det,Subject,Alt Title
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399917,http://www.etd.ceu.edu/2018/popp_livia.pdf ,"Popp, Livia-Angela",Nonresponse to politically-sensitive questions across political regimes / Livia-Angela Popp,"Budapest : Central European University, 2018",73 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/29,English,"The purpose of this study is to identify the relationship between political regimes and unit nonresponse, ""don't know"" item nonresponse and ""no answer"" item nonresponse, seeking to use willingness to answer politically-sensitive questions as a proxy to measure the quality of democracy. Using data from World Values Survey's sixth wave to measure nonresponse, as well as data from Freedom House, V-Dem, Polity IV and The Economist Intelligence Unit's Democracy Index to measure democratization, I conducted correlations and multiple linear regressions in order to see the relationship between political regimes as my independent variable and types and amounts of nonresponse.  The results of the analysis is that contrary to what the literature suggested, namely that nonresponse will be either most spread across democratic regimes due to oversaturation, or across non-democratic regimes due to preference skewing. The highest levels of nonresponse were found in flawed democracies, yet the results of the analysis should be accepted with caution, as regime type did prove to not have much explanatory power over the distribution and type of nonresponse recorded.",,PDF file (1674k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1429005,http://www.etd.ceu.edu/2020/fatima_hanan.pdf ,"Fatima, Hanan",Searching for best interests of unaccompanied children : a comparative study: United Kingdom and France / Hanan Fatima,"Budapest : Central European University, 2020",44 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/22,English,"Since the refugee crisis in 2015, thousands of children have come to the Europe alone and in need of asylum. It is an enormous task to project an accurate figure for the number of unaccompanied children seeking asylum as the numbers are not quite consistent. There is no real data despite the existence of several monitoring systems that are presently in place. Many unaccompanied children have disappeared whilst navigating their way across various geographic terrains as they flee persecution in their country of origin, predominantly as a result of conflict. Resultantly, some cross borders in search of their parents, while others become victims of child trafficking. This study centres on a comparative analysis of the rights of UMs in the United Kingdom(UK) and France and is done via the vantage point of migration and asylum processes. The study contributes to the discussion regarding the compliance of states on the primary consideration for the best interests of the child, presenting a prescriptive view in reviewing the application of the CRC and the EU acquis. This is carefully done taking into account the asylum laws and procedures of the State and the EU into account. This study, while analysing the implementation of the best interests of the child, tries to understand in whose best interests are policies and laws are created - the state or the child. The thesis concludes with the summation of reasons of noncompliance with the CRC recommendations, and the infringement of the principle rights of the child during age assessment procedures. It also acknowledges increasing disobedience by the UK in comparison to France due to the current and changing political situation, specifically Brexit and the impact it has had on the policies regarding unaccompanied children in the UK.",Degree: MA,PDF file (435k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
School of public policy,MA,https://tinyurl.com/sppma2018,2018,41,https://sierra.ceu.edu/record=b1401876,http://www.etd.ceu.edu/2018/shamiev_kirill.pdf ,"Shamiev, Kirill",The influence of interest groups on the military policy sustainability in Russia (2007 - 2012) / Kirill Shamiev,"Budapest : Central European University, 2018",50 p. ; 30 cm.,CEU School of Public Policy master theses ; 2018/36,English,"The security status-quo in Russia from 2007 to 2012 is often described as the period of ""Serdyukov reforms"". During the 6 years Russian armed forces faced unprecedented changes that affected its structural, economic, social and ideological elements. However, despite outstanding political and financial support of the Minister of Defense, Anatoliy Serdyukov, from Vladimir Putin and Dmitrii Medvedev, not all aims were fulfilled, and some changes were rolled back. This research examines the role of interest groups in the sustainability of the military policy of that period. Using the theoretical framework of minimum winning coalitions in the policy process of non-democratic state the research shows that the reformers faced formal and informal resistance of mobilized interest groups that they could not overcome considering the existed political and administrative limitations. Ultimately this process led to the Minister of Defense resignation and stopped radical changes in contemporary Russian armed forces",Degree: MA,PDF file (640k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Gender studies,MA,https://tinyurl.com/genderma2018,2018,29,https://sierra.ceu.edu/record=b1400164,http://www.etd.ceu.edu/2018/kasdovasili_stella.pdf ,"Kasdovasili, Stella Andrada","Drag-ing the human out of the human-oid : reflections on artificial intelligence, race and sexuality in late capitalism / Stella Andrada Kasdovasili","Budapest : Central European University, 2018",73 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2018/14,English,"This thesis seeks to explore they ways in which the category of human formulates the research in the field of Artificial Intelligence by examining the boundaries introduced by the distinction between human and non-human. My research is focused on the case study of Sophia, a humanoid manufactured by Hanson Robotics that obtained citizenship from Saudi Arabia, in October 2016. Considering the ways through which the humanoid becomes sexualized and racialized, I will argue that Sophia enfolds the potentiality of subversion, that is of interest for feminist epistemology. In the theoretical framework of the first chapter, I will provide the reader with a genealogy of the category of human by focusing on the canonical patriarchal understanding of the rational man in Western philosophy, while also addressing the category of human species, so as to illustrate how these approaches formulated research in Artificial Intelligence. In the second chapter, I will provide a close reading analysis of Michel Foucault and Brian Massumi’s scholarship that bridges biopower and capitalism to the affect and the body’s materiality. Based on this, I will read the trope of emotionality used in Sophia’s case in relation to the modulation of affect in late capitalism. This way, I intend to illustrate how Sophia is imbedded in a much more nuanced web of relations of power, one that redefines the boundaries between who is included in the category of the human species and who is not. In the third chapter, by employing Michel Foucault’s analysis on biopower while also engaging with Norman Fairclough’s critical discourse analysis I will draw attention to the discursive traces that construct Sophia’s identity in accordance to the biopolitical technologies of race and sexuality. Finally, in last chapter, drawing on Gilles Deleuze and Felix Guattari’s analysis on the abstract machine of faciality and Judith Butler’s approach on drag I will reflect on the constructiveness of the boundaries between the human and the non-human, to argue that Sophia is not just a product of her time but also a point of disruption that might unravel what Deleuze and Guattari call, the inhuman in the human.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Sociology,MSc,https://tinyurl.com/socma2018,2018,22,https://sierra.ceu.edu/record=b1399149,http://www.etd.ceu.edu/2018/castillo_sidney.pdf ,"Castillo Cardenas, Sidney Alberto",(Not) the fate of our fathers : a social and cognitive approximation to the changing religious landscape in Peru among young adults / Sidney Alberto Castillo Cardenas,(Not) the faith of our fathers : a social and cognitive approximation to the changing religious landscape in Peru among young adults,"Budapest : Central European University, 2018",57 p. ; 30 cm.,CEU Sociology Department master theses ; 2018/2,English,"A major change in the contemporary global religious landscape is currently in progress, and Peru is not a stranger to it: the rise of the religious nones and unaffiliated, the incidence of religious institutions or groups in local politics as part of transnational efforts, and the emergence of ever-evolving nuanced religiosities have been also part of Peruvian daily life for the past 25 plus years. Such general process, defined by a departure from exclusively institutional religious worldviews towards more diverse ones, is in tune with what occurs at the latin american/regional and local levels; and yet at the same time it’s also far from being homogeneous to all social realities in which it takes place, as the Peruvian case provides also with examples. Given this contrasting relationship between the local and the global, it is worth questioning as to what is the cause (or causes) attributable for these shared differences in form, but not in content. In the present thesis, I will address this question in arguing that religious socialization experiences, in the form of Credibility Enhancing Displays (CREDs onwards), are one of the main conditioners for shaping contemporary Peruvian religious and secular worldviews. CREDs are related to instances of observable behavior from an individual’s peers that generate an impact on them, based on how they act accordingly to what is stipulated in their respective religious belief systems or expressed religious convictions. In turn and over time, different CREDs will allow for the acquisition, maintenance or relegation of religious belief and their negotiations, which give rise to diversified worldviews.  For this purpose, I have placed as unit of analysis the age group of Peruvian young adults, (18-29 y.o.) all of them being university students located in Lima-Peru, since, as it will be argued, Peruvian youth within this age group experiences religious socialization in differentiated ways to previous generations, namely, in their general socialization experiences; in the accessing of novel media elements; in the engagement of social movements; and, in the adoption of a consumer ethos.  An interdisciplinary theoretical and methodological approach will be the basis for the elaboration of the argument, in which concepts from the fields of Cognitive Science of Religion and Sociology (in the form of theories of religious socialization) will serve as analytical tools; while grounded techniques based on Q-methodology have been used for the data gathering process of 320 surveys, 43 q-sorts, and 43 structured interviews. As a result of this exploration, a preliminary proposal of ideal-type models of religious and secular worldviews will be outlined. With this exercise, my thesis expects to contribute, not only to the study of contemporary religious worldviews but as an effort for interdisciplinary dialogue between disciplines and fields of research.",Degree: MA,PDF file (864k),ETD,Unrestricted,,
Sociology,MSc,https://tinyurl.com/socma2018,2018,22,https://sierra.ceu.edu/record=b1399188,http://www.etd.ceu.edu/2018/gajic_jelena.pdf ,"Gajic, Jelena",The street magazine LiceUlice : a safety net and a platform for social activism in Serbia / Jelena Gajic,"Budapest : Central European University, 2018",64 p. ; 30 cm.,CEU Sociology Department master theses ; 2018/14,English,"This research aims to examine the role of the street magazine LiceUlice, both as a platform for social activism and as a safety net for marginalised groups. These two issues are explored via the discourse analysis of the magazine, and via unstructured interviews with the magazine employees and vendors. By examining the magazineâ€™s writings, this research illuminates their notions of poverty, homelessness, social inclusion, the role of the state and other safety net institutions. It sheds a new light on how the magazine is used as a platform for opening the questions on discrimination, poverty and mental health issues not discussed in the mainstream media. As such, the magazine serves as a tool for subversive social activism. However, this research also shows that despite the often radical rhetoric, the magazine still implies neoliberal work ethic on its vendors. The interviews with the magazine employees uncover troubling situation with the state institutions and the collapse of the safety net, and the attempts that the magazine is doing to offer support to its vendors. Such support often goes beyond a basic selling training, taking the role of the missing state institutions particularly regarding various trainings for job search and mental health support. Finally, the interviews with the vendors question the market model imposed on them, and ideas of sale efficiency as a mean to improve their social condition during the post-socialist transformation. I argue that the magazine LiceUlice is a valuable platform for both, social activism and support of its vendors, but it also reveals the extent of the neoliberal devastation of the state social institutions, overwhelming poverty and social stratification, and insecurity and risk that marginalised groups face daily in Serbia.",Degree: MA,PDF file (545k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
IR,MA,https://tinyurl.com/iresma2020,2020,39,https://sierra.ceu.edu/record=b1429234,http://www.etd.ceu.edu/2020/balial_nikkon.pdf ,"Balial, Nikkon",The gatekeeper of sovereignty : analyzing Russian framing of the Syrian intervention / Nikkon Balial,"Budapest : Central European University, 2020",47 p. ; 30 cm.,CEU International Relations Department master theses ; 2020/7,English,"The Kremlin’s involvement in the Syrian civil conflict was a foreign policy move that evolved as a matter of concern not only for the Western countries but also for the international community, in general. The Russian act of justifying its involvement in Syria has been a recurrent theme of debate and contention, leaving behind confused analysts, scholars and policy makers. The goal of this thesis is to highlight and analyze how the Russian intervention in Syria is being framed through speech acts, UN statements and interviews by Russian leaders such as President Vladimir Putin, Foreign Minister Sergey Lavrov and UN Permanent Representatives Vassily Nebenzia and Vitaly Churkin internationally as well as at home to the Russian public. In this academic work, I claim that Russia uses the pro-sovereignty argument to justify its intervention in Syria. I conclude that President Putin and other Russian spokespersons are using the pro-sovereignty discourse of intervention rather than the ‘Responsibility to Protect’ reasoning for justifying their involvement in Syria. This paper opens up further scope for future research on the significant role that framing can play in analyzing foreign interventions. Finally, this work also emphasizes that the same pro-sovereignty argument has been used by Russia before during other instances of interventions, and thus can be used for suggesting a broader pattern of behavior from the Russian end.",Degree: MA,PDF file (544k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Gender studies,MA,https://tinyurl.com/genderma2020,2020,26,https://sierra.ceu.edu/record=b1429187,http://www.etd.ceu.edu/2021/dumitru_maria.pdf ,"Dumitru, Maria Georgiana",Multiple discrimination and untold stories of resistance : a case study of Romanian Roma women conducting informal street work in Oslo / Maria Dumitru,"Budapest : Central European University, 2020",90 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2020/26,English,"This thesis aims to challenge the stereotypical collective image toward Romanian Roma women by offering a study case that examines the experiences of Romani women who live in a state of unintentional homelessness in Oslo, Norway and survive by begging, recycling bottles, or selling magazines. To tackle the hegemonic knowledge, which is predominantly toxified by negative prejudices toward Roma, the special narratives of Roma women refute these images and seek to disclose untold stories of resistance. As this is the first case study made on this topic by a Roma woman, I aim to create a space for the silenced voices of Romanian Roma women whose narratives and struggles remain unheard. In order to conduct a thorough investigation of the intersectional discrimination suffered by Roma women and the outcome of their oppression, I will use the framework of intersectionality and explore the concepts of resistance developed by Roma women. Thus, by taking the cases of Romani women who are left in extreme poverty in Romania and, therefore, “forced” to migrate as a strategy of survival to provide for them and their families, I will analyze both the intersectional experiences of Roma women and the forms of resistance they have developed as a way in resisting oppression.Hence, this study also aims to challenge the previous research made on Roma migration to Norway and Western countries by tackling the missing female experiences of Romani women in light of their multifaceted forms of discrimination that stem from being women, Roma, poor, migrants, and homeless.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
IR,MA,https://tinyurl.com/iresma2018,2018,45,https://sierra.ceu.edu/record=b1399014,http://www.etd.ceu.edu/2018/aslantepe_goknur.pdf ,"Aslantepe, Göknur",Women politicians of a masculine state : gendered politics in Turkey / Göknur Aslantepe,"Budapest : Central European University, 2018",53 p. ; 30 cm.,CEU International Relations Department master theses ; 2018/3,Women -- Turkey -- Political activity,English,The thesis examines the masculine character of the branches of government of Turkey. Theoretical framework of the thesis is based on feminist international relation theory. Thesis demonstrate the futures of male-dominated politics by investigations historical process of women and current conditions of women politicians in political institutions of Turkey.,Degree: MA,PDF file (835k),ETD,Unrestricted,Women in politics -- Turkey,
Gender studies,MA,https://tinyurl.com/genderma2020,2020,26,https://sierra.ceu.edu/record=b1428475,http://www.etd.ceu.edu/2020/edwards_jennifer.pdf ,"Edwards, Jennifer Catherine","Queer(ing) community : queer community, spatiality, and temporality in Madison, WI / Jennifer Edwards","Budapest : Central European University, 2020",98 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2020/10,English,"This thesis is a blended ethnographic analysis of the queer nightlife scene in Madison, Wisconsin USA, focused specifically on queer pop-up events. These events began in reaction to a homonormative and exclusionary permanent gay nightlife scene. I begin by providing background about Madison, its queer subculture, and the racial and class dynamics within the city. In the first chapter, I address the complications of defining queerness and community in both academic and organizing work, engaging in theoretical understandings of both terms, as well as incorporating the definitions and understandings of research participants. I use discourse analysis to parse the descriptions of several queer pop-up events in Madison and the political engagements of both permanent gay bars and Queer Pressure, a significant queer pop-up event series. In the second chapter, I begin with an analysis of the notion of the sacred within th scene, then move to engage with Jack Halberstam’s concepts of queer temporality and spatiality to consider the implications and possibilites of pop-up and queer takeover style events, in part by reflecting on sets, the spaces the parties take place in, and the transient nature of event series and Madison queers. In the third chapter, I take up the question of queer politics and intersectionality by reading Micheal Warner’s definition of queer politics alongside Lisa Duggan’s conception of the homonormative, and reflect on the resonances of intersectionality and crip theory within these frameworks. I then discuss the homonormative politics of the Madison LGBTQ+ community, and contrast them with an analysis of Queer Pressure’s political commitments. The final section of this chapter is a case study of the No Cops at Pride movement, reactions to and consequences of its engagement with radical queer politics, and a brief analysis of the resonance of this movement in 2018 with the racial justice mass movement of 2020. Ultimately, I do not strive to make any overarching conclusions with this thesis, but rather to take seriously and consider deeply a particular moment in time in the place that I consider home, and to gesture towards a more complex engagement with the queer spaces that exists in between the rural and the urban in the United States.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Mathematics,MA,https://tinyurl.com/mathma2019,2019,3,https://sierra.ceu.edu/record=b1421494,http://www.etd.ceu.edu/2019/ramanantoanina_andri.pdf ,"Ramanantoanina, Andriamahenina",Topological classification of links associated with plane curve singularities / Andriamahenina Ramanantoanina,"Budapest : Central European University, 2019",36 p. ; 30 cm.,CEU Department of Mathematics master theses ; 2019/3,English,"In order to protect users from spam, financial scams or malware, security com- panies, such as ESET,1 tend to block dangerous domains and Internet Protocol (IP) addresses. Many of them are chronically known for spreading malware and thus blacklisted, while others are known as clean and whitelisted sources. However, most dangerous domains/IPs are unknown. The aim of this project is to assign a malware probability to domains/IPs using a large scale data on a temporal bipartite network. We model the associated reputation problem as a network interference and graph mining problem, where we construct layers of domains and IP addresses, and seed tthe network with empirical ground truth on malware sources. Then we run the voter model of information spreading to estimate marginal probabilities of domains/IPs being blacklisted. Our analysis provides an intuitive, scalable way of identifying previously unknown, dangerous sources online.",Degree: MSc,PDF file (987k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Environmental sciences,MESPOM,https://tinyurl.com/envmespom2020,2020,12,https://sierra.ceu.edu/record=b1428076,http://www.etd.ceu.edu/2020/black_benjamin.pdf ,"Black, Benjamin Samuel",Assessing the ecological effectiveness of protected areas in Cambodia : a quasi-experimental counterfactual estimation of avoided deforestation / Benjamin Black,"Budapest : Central European University, 2020",209 p. ; 30 cm.,CEU Department of ES MESPOM Programme master theses ; 2020/2,English,"In the face of global environmental change, protected areas (PAs) have become an increasingly important tool in modern conservation, and as such there is a clear imperative to maximise the benefits they provide. In this regard a growing field of interest is the quantification of PA ecological effectiveness, often expressed in terms of avoided deforestation achieved relative to unprotected areas. However, such assessments are confounded by biases in both the non-random siting of PAs within landscapes as well as differential pressure upon their resources. These biases can be overcome by the use of quasi-experimental counterfactual study designs, that evaluate the impact of PAs against control areas of ‘similar’ biophysical and socio-economic characteristics. To contribute towards this knowledge domain this study presents an assessment of PA effectiveness for the Southeast Asian nation Cambodia, which, in light of its history of natural resource management, represents a pertinent case study. PA effectiveness was analysed using propensity score matching for three different outcome periods between 2010-2018 with the results finding significant positive treatment effects in each, with forested land in PAs being as much as 8% less likely to be deforested than similar unprotected forest. In addition to this a significant positive spillover effect of PAs was observed in 5km buffers zones adjacent to their boundaries, resulting in a maximum of 4% reduction in probability of deforestation. Furthermore, the effectiveness of PAs in Cambodia was found to vary under differential deforestation pressure as well as with regards to the duration of time since PA establishment.",Degree: MSc,PDF file (6599k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Economics,MA,https://tinyurl.com/ecoma2019,2019,72,https://sierra.ceu.edu/record=b1421213,http://www.etd.ceu.edu/2019/tspnetsyan_arpine.pdf ,"Tspnetsyan, Arpine",The impact of financial regulation on bank risk-taking : capital adequacy regulation vs deposit insurance / Arpine Tspnetsyan,"Budapest : Central European University, 2019",20 p. ; 30 cm.,CEU Economics Department master theses ; 2019/35,English,"This paper, based on the reviewed literature, conducts a secondary analysis to understand what are the incentives which increase the level of risk-taking in the banking sector, whether there is intense competition giving significant grounds to the banks for excessive risk-taking. Additionally, it discusses how financial regulation impacts the risk-taking in the banking sector and the possible flaws of the regulation. A comparison is conducted between two preventive governmental interventions: Capital adequacy requirement and Deposit Insurance. Further policy recommendations have been made to improve financial regulation in the banking sector.",Degree: MA,PDF file (398k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Political science,MA,https://tinyurl.com/polma2020,2020,42,https://sierra.ceu.edu/record=b1427942,http://www.etd.ceu.edu/2020/lazarescu_paul.pdf ,"Lazarescu, Paul Manuel",Understanding the implications of the Hart-Celler Act / Paul Manuel Lazarescu,"Budapest : Central European University, 2020",54 p. ; 30 cm.,CEU Political Science Department master theses ; 2020/9,English,"The Hart-Celler Act, formally known as the Immigration and Nationality Act of 1965, has had a thought-provokingly stellar impact on U.S. immigration. This act eliminated discrimination against certain ethnic groups that had persisted since the Immigration Act of 1924 which established the National Origins Formula. Under the National Origins Formula, immigration quotas were put into place in order to limit the number of immigrants from regions of the world that would negatively alter the ethnic distribution of the United States. The era within which the Hart-Celler Act was passed was one of a great change in the psyche of the U.S. demos towards a more liberal, global way of thinking by removing these quotas and creating a better system through which residency could be acquired. The changing of times and inability to address it since, however, has led to immigration becoming a forefront of political debate in the United States today. This has culminated in the presidential campaign and subsequent election of Donald J. Trump, whose primary campaign issue revolved around racially charged sentiments and the problems of immigration. My aim here is to assess, from relevant data and evidence, the impact of the Hart-Celler Act by examining a) how it improved or faulted as legislation upon its predecessor – via reallocation of immigration slots from Northern Europe to 3rd world inhabitants or the creation of chain migration – and b) the economic and social consequences that have occurred in the fifty years following. I shall follow this up by developing a normative scale upon which to judge the competing immigration theories, which is succeeded by taking a look at philosophical literature in search of providing a clearer picture regarding the moral debate surrounding immigration today. I conclude a) that Congress passed a law improving on many of the shortcomings of its predecessor, though it has not been spared criticism on pragmatic grounds; and b) that the legislative changes cultivated fairly positive economic consequences. Additionally, I assert that sole adherence to either theory of immigration is too narrow in approaching the problem of reform and that collaborative measures that are understanding of both sides’ interpretations of justice is the most suitable path forward.",,PDF file (924k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1428993,http://www.etd.ceu.edu/2020/borodenchyk_tereza.pdf ,"Borodenchyk, Tereza",Violent attacks against Roma by right-wing radical groups in Hungary and Ukraine / Tereza Borodenchyk,"Budapest : Central European University, 2020",39 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/13,English,"Right-wing ideology is a movement based on the belief in the superiority of some individuals and groups as well as the inferiority of others. This ideology caused a number of violent attacks against Roma in Hungary in 2008-2009 and in Ukraine in 2018. Members of right-wing movements attacked Roma settlements, destroying houses, injuring and killing people. The two main focuses of the paper are: to discuss the social and political pre-conditions and the general societal environments in which the attacks were committed, and to outline the main human rights violations committed by the states while responding (or not responding) to the attacks.",Degree: MA,PDF file (490k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
IR,MA,https://tinyurl.com/iresma2020,2020,39,https://sierra.ceu.edu/record=b1429245,http://www.etd.ceu.edu/2020/bihan-poudec_emma.pdf ,"Bihan-Poudec, Emma Isma","An analysis of the demobilisation, disarmament and reintegration process of former FARC fighters in Colombia / Emma Isma Bihan-Poudec","Budapest : Central European University, 2020",57 p. ; 30 cm.,CEU International Relations Department master theses ; 2020/11,English,"The implementation of Disarmament, Demobilisation and Reintegration (DDR) processes represent an important part of post-conflict transition. By enforcing the stateâ€™s monopoly on armed forces and integrating political opponents, these mechanisms hold a promising potential towards the reconstruct war-torn nations. In 2016, the government of Colombia reached an historic peace deal with the FARC (Fuerzas Armadas Revolucionarias de Colombia) guerrilla, thus ending the longest lasting civil war in the Americas. After more than 50 years of civil war, in which hundreds of thousands were killed and millions displaced, the implementation of DDR started. Now in its third year, the implementation is slow, uneven and is encountering several difficulties. In August 2019, some ex-FARC leaders called for the return of an armed insurgency, citing the failures of the Colombian government in implementing the Peace Agreement. As mitigated results of the DDR in Colombia emerge, an overall assessment is valuable. This paper aims to provide insights in the implementation of the DDR process of former FARC fighters in Colombia. The research is based on process-tracing and semi-structured interviews conducted with organisations which designed, implemented and monitored of the peace process. By combining these insights and methods, this research permits to highlights the successes and challenges of this DDR process. This research identifies key obstacles and opportunities for DDR in Colombia, highlighting the programmatic successes for the demobilisation and disarmament phases and identifying institutional weakness, programmatic flaws and the role of spoilers as key explanatory factors for the shortcomings of the reintegration in Colombia.",Degree: MA,PDF file (454k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399921,http://www.etd.ceu.edu/2018/shishov_aleksandr.pdf ,"Shishov, Aleksandr",Identifying the Heideggerian footprint in post-communist Russia's radical political thought / Aleksandr Shishov,"Budapest : Central European University, 2018",61 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/33,English,"At present, despite significant interest in Russian politics and its benchmark status for claims regarding the rise of illiberal tendencies, very little is done to investigate the developments within Russia’s eclectic philosophical landscape. This paper examines the political theory of one the most controversial and curious Russian intellectuals - Aleksandr Dugin. In his key work “The Fourth Political Theory” Dugin dismisses liberalism, communism and fascism and proposes an approach to political philosophy that, according to his argumentation, fosters an authentic relationship with Being by conceptualising Heidegger’s category of Dasein as the subject of politics. This paper suggests that Dugin’s theory constitutes a genuine and unique example of Right-Heideggerianism and expands on the ideas of conservative revolutionaries through incorporating the major theoretical developments of the 20th century. It is demonstrated that identifying the key premise of Dugin’s approach to political philosophy as the insistence on the ontological primacy of community in relation to the construction of the human self, envisioned in Heideggerian terms, allows for Dugin’s political application of Heidegger’s fundamental ontology to be both sufficiently distinct from present currents in political thought, and flexible to be appropriated as a new conceptual foundation by a wide array of radical conservative and right-wing movements.",,PDF file (884k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1424434,http://www.etd.ceu.edu/2020/leshkovych_taras.pdf ,"Leshkovych, Taras","Evolution of the educational rights of minorities in the League of Nations, United Nations and Council of Europe systems / Taras Leshkovych","Budapest : Central European University, 2019",73 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/39,English,"The present thesis is devoted to the comprehensive analysis of the historic development of the educational rights of persons belonging to national or ethnic, religious or linguistic minorities. The study focuses on the transformation of the minorities’ protection regimes established within the League of Nations after World War I into more individualistic system of the protection of the rights of persons belonging to minorities that emerged after World War II within the United Nations and Council of Europe. From the wide array of the rights of persons belonging to minorities, education plays a crucial role and is paramount to the survival and further development of minority communities. While the rights of persons belonging to minorities are perceived as individual rights – such approach is practical and important for jurisdictional reasons, the collective aspect of minority rights is undisputed. This is particularly relevant for the educational rights of persons belonging to minorities, as educational process mostly has collective character. The research focuses on the evolution of minority education rights within three legal systems: minority protection regimes under the League of Nations, educational rights of persons belonging to minority groups under the United Nations, and the regional Council of Europe system. The study also provides an overview of modern understanding of the educational rights of persons belonging to minority groups. In this aspect, thesis analyzes the minority rights as human rights – focusing on the subjective element of the minority education rights, and examines the content or material elements of the educational rights of minorities.",Degree: MA,PDF file (904k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Environmental sciences,MSc,https://tinyurl.com/envma2020,2020,15,https://sierra.ceu.edu/record=b1429397,http://www.etd.ceu.edu/2020/thomas_geoffrey.pdf ,"Thomas, Geoffrey","Valuing and relating to the more-than-human world : Latour, Haraway and the life frame of values / Geoffrey Thomas","Budapest : Central European University, 2020",100 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2020/13,English,"This thesis examines making intrinsic values work; integrating intrinsic values of the more‐than‐human world through the Life Framework of Values using the perspectives of Haraway and Latour. O’Connor and Kenter’s Life Framework of Values (LFV) is an innovative and comprehensible means to communicate intrinsic and relational values, which are conceived of as related to living with, from, in and as the more-than-human world. The LFV seeks to operationalize intrinsic values in the context of conservation and sustainability. This thesis brings perspectives from Latour and Haraway to bear on environmental ethics discussions, especially around intrinsic and relational values. The work of Latour and Haraway expands the understanding of the more-than-human world, examines conceptions of nature and wilderness, looks at nature/culture interaction and proposes the inclusion of the Gaia and the Anthropocene as essential conceptual frameworks. Latour and Haraway’s work on relationality provides insight into the LFV. Latour’s actor-network theory increases the range of entities and objects that participate in networks and gives these actors greater agency. The concept of the Anthropocene means that relations between the human and the more-than-human have become central forces, and provides historical, political and economic background to the current ecological crisis. Acceptance of the Anthropocene and Gaia means that we exist in a limited critical zone. Latour and Haraway argue against universalizing ethical systems. Latour advocates ethical sensitization and Haraway argues for situated knowledge and attention to entanglement and injustice. The combination of these insights might be used to strengthen and improve the LFV.",Degree: MSc,PDF file (1039k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
